osm_id;ort;plz;bundesland;eintrag
2408603;Arnstein;06456;Sachsen-Anhalt;Weltklasse
2408603;Arnstein;06543;Sachsen-Anhalt;Weltklasse
957058;Arnstorf;94424;Bayern;Weltklasse
553601;Arpsdorf;24634;Schleswig-Holstein;Weltklasse
959919;Arrach;93474;Bayern;Weltklasse
2387266;Artern/Unstrut;06556;Thüringen;Weltklasse
1388559;Artlenburg;21380;Niedersachsen;Weltklasse
535686;Arzbach;56337;Rheinland-Pfalz;Weltklasse
534446;Arzberg;04886;Sachsen;Weltklasse
1022878;Arzberg;95659;Bayern;Weltklasse
1113734;Arzfeld;54687;Rheinland-Pfalz;Weltklasse
443469;Asbach;53567;Rheinland-Pfalz;Weltklasse
1245096;Asbach;55758;Rheinland-Pfalz;Weltklasse
562971;Asbach-Bäumenheim;86663;Bayern;Weltklasse
2813820;Asbach-Sickenberg;37318;Thüringen;Weltklasse
959656;Ascha;94347;Bayern;Weltklasse
62532;Aschaffenburg;63739;Bayern;Weltklasse
62532;Aschaffenburg;63741;Bayern;Weltklasse
62532;Aschaffenburg;63743;Bayern;Weltklasse
941055;Aschau am Inn;84544;Bayern;Weltklasse
2186909;Aschau im Chiemgau;83229;Bayern;Weltklasse
1246671;Aschbach;67753;Rheinland-Pfalz;Weltklasse
157717;Ascheberg;59387;Nordrhein-Westfalen;Weltklasse
310405;Ascheberg;24326;Schleswig-Holstein;Weltklasse
548614;Ascheffel;24358;Schleswig-Holstein;Weltklasse
2831105;Aschenhausen;98634;Thüringen;Weltklasse
79801;Aschersleben;06449;Sachsen-Anhalt;Weltklasse
2168238;Aschheim;85609;Bayern;Weltklasse
306573;Asendorf;21271;Niedersachsen;Weltklasse
1461193;Asendorf;27330;Niedersachsen;Weltklasse
400932;Aspach;71546;Baden-Württemberg;Weltklasse
405809;Asperg;71679;Baden-Württemberg;Weltklasse
1239627;Aspisheim;55459;Rheinland-Pfalz;Weltklasse
402686;Assamstadt;97959;Baden-Württemberg;Weltklasse
2791715;Asselfingen;89176;Baden-Württemberg;Weltklasse
215977;Aßlar;35614;Hessen;Weltklasse
929921;Aßling;85617;Bayern;Weltklasse
453151;Astert;57627;Rheinland-Pfalz;Weltklasse
163178;Attendorn;57439;Nordrhein-Westfalen;Weltklasse
540056;Attenhausen;56370;Rheinland-Pfalz;Weltklasse
956663;Attenhofen;84091;Bayern;Weltklasse
29830;Attenkirchen;85395;Bayern;Weltklasse
2801345;Attenweiler;88448;Baden-Württemberg;Weltklasse
959671;Atting;94348;Bayern;Weltklasse
453152;Atzelgift;57629;Rheinland-Pfalz;Weltklasse
1946230;Au;79280;Baden-Württemberg;Weltklasse
907190;Au am Rhein;76474;Baden-Württemberg;Weltklasse
162693;Aub;97239;Bayern;Weltklasse
387526;Aubstadt;97633;Bayern;Weltklasse
1269806;Auderath;56766;Rheinland-Pfalz;Weltklasse
